"V1","V2","V3","Class"
416,100,215,0
230,284,223,0
326,324,165,0
206,362,242,0
7,247,131,1
305,230,362,0
201,294,283,0
226,161,197,0
36,270,323,1
148,373,216,1
45,214,386,1
368,9,244,0
344,323,361,0
365,269,172,0
84,320,321,1
222,40,232,0
296,272,99,0
243,41,351,0
443,328,378,0
158,80,381,1
426,242,264,0
440,81,256,0
162,88,385,1
16,34,2,1
442,18,124,0
249,254,89,0
177,204,345,1
151,24,84,1
302,108,40,0
30,379,317,1
99,86,239,1
13,266,68,1
146,282,19,1
231,155,237,0
417,122,21,0
