"V1","V2","V3","Class"
367,256,65,1
69,117,18,1
390,355,57,1
65,343,72,1
178,297,72,1
184,413,51,1
116,312,72,1
311,65,46,1
97,311,72,1
290,311,72,1
327,209,72,1
78,303,236,1
259,136,239,1
101,282,154,1
1,162,72,1
20,162,72,1
79,29,195,1
341,284,72,1
67,224,189,1
94,121,273,1
154,205,38,1
368,251,204,1
144,53,305,1
245,80,205,1
229,169,55,1
22,305,98,1
303,191,47,1
104,52,72,1
142,367,52,1
306,49,148,1
35,240,175,1
277,201,0,1
239,418,287,1
244,57,46,1
408,56,53,1
275,165,337,1
47,69,288,1
273,93,97,1
120,83,72,1
82,16,286,1
149,119,72,1
281,306,289,1
276,236,52,1
107,266,135,1
140,113,149,1
26,281,78,1
357,238,52,1
99,368,45,1
383,135,311,1
230,135,281,1
133,189,52,1
310,157,150,1
110,408,315,1
295,21,72,1
227,146,325,1
3,33,72,1
246,386,312,1
433,386,292,1
364,151,72,1
386,326,52,1
404,159,70,1
416,141,60,1
240,271,25,1
200,118,72,1
14,229,72,1
182,181,72,1
321,181,52,1
299,99,52,1
247,325,72,1
74,414,17,1
265,375,72,1
286,308,168,1
328,232,52,1
340,120,147,1
224,290,257,1
75,6,52,1
70,304,72,1
432,108,188,1
371,100,37,1
401,124,72,1
266,363,72,1
73,410,96,1
250,164,40,1
62,309,164,1
24,317,304,1
103,263,52,1
159,328,72,1
53,327,54,1
307,385,71,1
376,208,339,1
308,96,72,1
260,245,72,1
72,245,72,1
169,138,72,1
384,131,16,1
163,254,72,1
418,377,47,1
95,387,72,1
225,243,48,1
215,175,52,1
353,279,134,1
349,336,72,1
160,193,66,1
126,415,72,1
128,122,72,1
274,416,72,1
44,416,72,1
320,276,72,1
423,383,72,1
173,358,64,1
213,26,72,1
151,34,14,1
118,392,72,1
330,114,72,1
31,225,83,1
86,75,72,1
15,25,72,1
402,273,208,1
409,76,328,1
205,36,52,1
399,67,203,1
369,268,52,1
176,314,50,1
50,5,72,1
18,380,72,1
143,28,72,1
29,158,69,1
71,139,73,1
324,4,72,1
257,147,56,1
249,38,72,1
214,299,313,1
415,87,101,1
211,170,72,1
56,334,72,1
305,71,241,1
252,379,72,1
396,394,72,1
195,285,58,1
77,106,314,1
157,143,254,1
113,338,274,1
346,264,43,1
280,188,67,1
318,11,42,1
217,3,72,1
223,222,104,1
326,128,196,1
87,294,232,1
23,260,197,1
147,241,99,1
218,265,272,1
329,366,68,1
285,192,72,1
381,362,7,1
354,247,72,1
279,137,39,1
420,329,72,1
61,47,74,1
309,1,141,1
40,404,72,1
216,116,267,1
348,419,295,1
335,313,270,1
380,320,338,1
403,9,72,1
105,18,209,1
129,301,62,1
83,127,93,1
208,369,41,1
60,376,72,1
302,333,44,1
263,163,206,1
181,85,231,1
85,246,19,1
42,307,151,1
345,221,75,1
243,321,170,1
11,248,100,1
242,347,207,1
350,126,275,1
171,176,103,1
43,186,76,1
33,250,89,0
374,393,326,0
68,84,265,0
148,374,336,0
27,77,277,0
300,133,172,0
406,210,217,0
0,210,217,0
426,381,259,1
136,365,160,0
363,348,174,0
106,257,258,0
194,153,113,0
63,252,216,0
201,323,329,0
96,167,155,0
9,132,86,1
64,132,86,1
323,132,85,1
338,258,148,1
132,42,294,0
206,182,322,1
352,403,95,1
2,198,166,0
